name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
Odranci,SVN,City,Slovenia,6.9,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.58333333,16.28333333,1700,2002,Mura,NA,Europe
Oeiras,PRT,City,Portugal,46,Carbonn2019;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,4,38.68333333,-9.316666667,172120,2011,Lisbon,,Europe
Ofena,ITA,City,Italy,36.9,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,42.325837,13.758699,517,NA,Province of L'Aquila,L'Aquila,Europe
Offenbach,DEU,City,Germany,44.9,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,50.1,8.8,124849,NA,Hesse,,Europe
Offida,ITA,City,Italy,49.6,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,42.9371537,13.6929961,5277,NA,Ascoli Piceno,,Europe
Ogassa,ESP,City,Spain,45.2,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,42.2656267,2.2777794,251,2018,Catalonia,Ripollès,Europe
Oggebbio,ITA,City,Italy,21.44,GlobalCovenantofMayors2019;NAZCA,2,45.995333,8.651461,933,NA,Verbano-Cusio-Ossola,,Europe
Oggiono,ITA,City,Italy,7.96,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.79188,9.346745,8887,NA,Lecco,,Europe
Ogíjares,ESP,City,Spain,6.91,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.11666667,-3.6,12506,2018,Granada,NA,Europe
Ogre,LVA,City,Latvia,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,56.8192045,24.6074393,39196,NA,NA,,Europe
Ogulin,HRV,City,Croatia,542.32,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.26694444,15.225,13915,2011,Karlovacka Zupanija,Karlovac,Eastern Europe and Central Asia
Ohanes,ESP,City,Spain,32,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.03833333,-2.745277778,795,2018,Almería,,Europe
